"filename", "language", "JSON", "Dockerfile", "YAML", "Properties", "JavaScript", "XML", "Markdown", "C#", "HTML", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Models\Photo.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Models\User.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 2, 24
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Models\Value.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Program.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 2, 5, 48
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Properties\launchSettings.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\Startup.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 8, 17, 109
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\WeatherForecast.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\appsettings.Development.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\helpers\AutoMapperProfiles.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 1, 6, 34
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\helpers\CloudinarySettings.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\nicchl01\Downloads\projects\Core\DatingApp.Api\helpers\Extenstions.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 2, 3, 26
"c:\Users\nicchl01\Downloads\projects\Core\docker-compose.yml", "YAML", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"Total", "-", 15916, 15, 23, 10, 53, 16, 14, 1367, 298, 962, 129, 219, 714, 19736
